"state","date_range_of_specimen","round","catchment_fips_code","catchment_area_description","catchment_population","n_0_17_prevalence","rate_0_17_prevalence","lower_ci_0_17_prevalence","upper_ci_0_17_prevalence","ci_flag_0_17_prevalence","n_18_49_prevalence","rate_18_49_prevalence","lower_ci_18_49_prevalence","upper_ci_18_49_prevalence","ci_flag_18_49_prevalence","n_50_64_prevalence","rate_50_64_prevalence","lower_ci_50_64_prevalence","upper_ci_50_64_prevalence","ci_flag_50_64_prevalence","n_65_prevalence","rate_65_prevalence","lower_ci_65_prevalence","upper_ci_65_prevalence","ci_flag_65_prevalence","n_male_prevalence","rate_male_prevalence","lower_ci_male_prevalence","upper_ci_male_prevalence","ci_flag_male_prevalence","n_female_prevalence","rate_female_prevalence","lower_ci_female_prevalence","upper_ci_female_prevalence","ci_flag_female_prevalence","n_cumulative_prevalence","Data.50.","Data.2.5.","Data.97.5.","ci_flag_cumulative_prevalence","estimated_cum_infections_count","estimated_cum_infections_lower_ci","estimated_cum_infections_upper_ci","all_age_sex_strata_had_at","site_large_ci_flag","maxdate","mindate","date","Source"
"ID","Nov 27 -  Dec 8, 2020",9,"Statewide","Statewide",1687809,9,777,NA,NA,NA,201,11.7,6.67,17.16,0,165,13.9,8.28,21,0,192,4.4,1.6,7.97,0,214,9.5,4.4,15.48,0,353,12,7.09,16.86,0,567,10.7,7.31,14.51,0,180596,123379,244901,FALSE,FALSE,"2020-12-08","2020-11-27",2020-12-02,"Validation CDC (2021)"
"IL","Nov 27 -  Dec 8, 2020",9,"Statewide","Statewide",12821497,550,21.2,16.94,25.49,0,579,30.1,26.56,33.84,0,538,20.9,16.85,25.16,0,542,10.7,7.21,14.44,0,881,24,20.94,27.26,0,1328,22.8,20.38,25.4,0,2209,23.4,21.32,25.62,0,3000230,2733543,3284868,TRUE,FALSE,"2020-12-08","2020-11-27",2020-12-02,"Validation CDC (2021)"
"IN","Nov 26 -  Dec 9, 2020",9,"Statewide","Statewide",6637426,13,777,NA,NA,NA,400,9.5,6.36,13.45,0,164,8.6,2.36,16.5,0,150,3.1,0.73,6.16,0,205,6.8,3.04,11.68,0,522,10.4,7.12,14.44,0,727,8.6,6.14,11.87,0,570819,407538,787862,TRUE,FALSE,"2020-12-09","2020-11-26",2020-12-02,"Validation CDC (2021)"
"KS","Nov 24 - Dec 12, 2020",9,"Statewide","Statewide",2908776,314,11,6.85,15.05,0,326,10,6.68,13.78,0,325,10.2,6.29,14.18,0,317,6.5,3.21,9.97,0,516,9.8,6.65,12.95,0,766,9.7,7.06,12.41,0,1282,9.7,7.68,11.79,0,282151,223394,342945,TRUE,FALSE,"2020-12-12","2020-11-24",2020-12-03,"Validation CDC (2021)"
"KY","Nov 25 -  Dec 9, 2020",9,"Statewide","Statewide",4440204,313,12,8.22,15.8,0,328,11.7,8.04,15.8,0,389,10.9,8.02,14.44,0,232,7,3.24,10.82,0,556,10.3,7.32,13.35,0,706,11.5,8.76,14.56,0,1262,10.9,8.95,13.04,0,483982,397398,579003,TRUE,FALSE,"2020-12-09","2020-11-25",2020-12-02,"Validation CDC (2021)"
"LA","Nov 27 - Dec 12, 2020",9,"Statewide","Statewide",4663616,322,16.3,10.87,22.36,0,325,8.5,5.67,11.82,0,320,10.5,5.98,15.64,0,324,4.9,2.67,7.4,0,528,7.9,5.07,10.95,0,763,12.4,9.69,15.17,0,1291,10.2,8.15,12.13,0,475689,380085,565697,TRUE,FALSE,"2020-12-12","2020-11-27",2020-12-04,"Validation CDC (2021)"
"MA","Nov 30 - Dec 12, 2020",9,"Statewide","Statewide",6830193,179,6.4,2.76,10.33,0,368,5.9,3.54,8.59,0,367,6.9,4.11,9.59,0,377,5.9,3.09,8.84,0,531,7,4.68,9.71,0,760,5.4,3.55,7.43,0,1291,6.2,4.76,7.82,0,423472,325117,534121,TRUE,FALSE,"2020-12-12","2020-11-30",2020-12-06,"Validation CDC (2021)"
"MD","Nov 26 - Dec 10, 2020",9,"Statewide","Statewide",6003435,75,18.3,9.02,27.74,0,409,12.2,9.19,16.11,0,336,6.1,3.38,9.11,0,356,2.6,0.88,4.54,0,468,11,7,15.4,0,708,10.8,7.6,14.16,0,1176,10.9,8.32,13.81,0,654374,499486,829074,TRUE,FALSE,"2020-12-10","2020-11-26",2020-12-03,"Validation CDC (2021)"
"ME","Nov 30 - Dec 11, 2020",9,"Statewide","Statewide",1332813,15,777,NA,NA,NA,230,0.8,0,2.21,1,164,2.4,0,5.31,1,164,1.6,0,3.95,1,232,1.6,0,3.61,1,341,1,0.15,2.46,0,573,1.3,0.34,2.53,0,17327,4532,33720,FALSE,TRUE,"2020-12-11","2020-11-30",2020-12-05,"Validation CDC (2021)"
"MI","Nov 24 -  Dec 9, 2020",9,"Statewide","Statewide",9957488,55,777,NA,NA,NA,373,13.3,9.6,16.96,0,255,11.7,7.73,16.38,0,426,4,2.08,6.43,0,454,9,5.78,12.53,0,655,11.7,8.43,14.96,0,1109,10.3,7.88,12.68,0,1025621,784650,1262609,TRUE,FALSE,"2020-12-09","2020-11-24",2020-12-01,"Validation CDC (2021)"
"MN","Nov 25 - Dec 10, 2020",9,"Statewide","Statewide",5527358,165,13.4,8.68,18.92,0,487,15.7,11.91,20.21,0,324,13,8.39,18.6,0,302,11.3,7.5,16.25,0,525,14.4,11.3,17.63,0,753,13.5,10.39,17.11,0,1278,14,11.71,16.52,0,773830,647254,913120,TRUE,FALSE,"2020-12-10","2020-11-25",2020-12-02,"Validation CDC (2021)"
"MO","Nov 27 -  Dec 9, 2020",9,"Statewide","Statewide",6090062,160,15,8.45,22.99,0,588,18.3,13.92,22.33,0,402,12.7,7.9,17.64,0,658,8.4,5.92,11.02,0,790,14.4,10.51,18.56,0,1018,15.2,11.85,18.55,0,1808,14.8,12.15,17.4,0,901329,739943,1059671,TRUE,FALSE,"2020-12-09","2020-11-27",2020-12-03,"Validation CDC (2021)"
"MS","Nov 23 -  Dec 8, 2020",9,"Statewide","Statewide",2988762,131,28.5,21,37.37,0,394,18.9,15.12,22.95,0,393,10.3,7.05,13.36,0,361,10.7,7.69,14.13,0,438,18,13.49,22.73,0,841,18.7,15.41,21.88,0,1279,18.3,15.53,21.34,0,546943,464155,637802,TRUE,FALSE,"2020-12-08","2020-11-23",2020-11-30,"Validation CDC (2021)"
"MT","Nov 29 - Dec 11, 2020",9,"Statewide","Statewide",1041732,17,777,NA,NA,NA,203,11.8,6.85,16.63,0,174,11.9,6.95,17.18,0,146,4.3,1.01,8.45,0,225,11.1,6.24,16.76,0,315,8.2,5.1,12.05,0,540,9.7,6.61,12.66,0,101048,68858,131883,TRUE,FALSE,"2020-12-11","2020-11-29",2020-12-05,"Validation CDC (2021)"
"NC","Nov 23 -  Dec 1, 2020",9,"Statewide","Statewide",10155624,431,11.7,8.74,14.97,0,358,8.7,5.89,11.99,0,76,4,0,9.79,1,108,1.2,0,4.5,1,430,6.9,4.72,9.72,0,543,7.7,5.34,10.5,0,973,7.3,5.6,9.23,0,741361,568715,937364,TRUE,TRUE,"2020-12-01","2020-11-23",2020-11-27,"Validation CDC (2021)"
"NE","Nov 27 - Dec 11, 2020",9,"Statewide","Statewide",1904760,81,14.2,5.77,23.79,0,449,18.5,14.69,22.53,0,444,16.5,12.55,20.83,0,287,8.3,4.87,12.42,0,688,15.8,12.52,19.35,0,573,15.2,10.7,20.39,0,1261,15.5,12.43,18.79,0,295238,236762,357904,TRUE,FALSE,"2020-12-11","2020-11-27",2020-12-04,"Validation CDC (2021)"
"NH","Nov 30 -  Dec 5, 2020",9,"Statewide","Statewide",1343622,31,777,NA,NA,NA,448,3,1.08,5.22,0,509,1.8,0.64,3.23,0,319,1.8,0.29,3.53,0,567,2.3,0.71,4.21,0,740,1.6,0.68,2.67,0,1307,1.9,1.05,2.93,0,25529,14108,39368,FALSE,FALSE,"2020-12-05","2020-11-30",2020-12-02,"Validation CDC (2021)"
"NJ","Nov 27 - Dec 10, 2020",9,"Statewide","Statewide",8881845,192,25.4,19.08,32.15,0,292,16.8,12.37,21.6,0,307,8.4,5.56,11.42,0,275,7.6,4.23,11.38,0,396,16.1,11.88,20.63,0,670,15,12.22,17.95,0,1066,15.5,13.08,18.29,0,1376686,1161745,1624489,TRUE,FALSE,"2020-12-10","2020-11-27",2020-12-03,"Validation CDC (2021)"
"NM","Nov 28 - Dec 12, 2020",9,"Statewide","Statewide",2092434,167,13.9,8.75,20.02,0,378,14,9.9,18.31,0,375,13.6,9.9,17.97,0,378,7.9,5.09,11.01,0,545,14.4,10.54,18.47,0,753,11.4,8.75,13.99,0,1298,12.9,10.57,15.1,0,269924,221170,315958,TRUE,FALSE,"2020-12-12","2020-11-28",2020-12-05,"Validation CDC (2021)"
"NV","Nov 27 -  Dec 8, 2020",9,"Statewide","Statewide",2922849,60,777,NA,NA,NA,436,13.8,10.3,17.2,0,329,10.8,7.46,14.69,0,335,5.4,2.95,8.1,0,511,15,10.53,19.87,0,649,11.3,7.62,15.2,0,1160,13.2,10.31,16.23,0,385816,301346,474378,TRUE,FALSE,"2020-12-08","2020-11-27",2020-12-02,"Validation CDC (2021)"
"NY","Nov 23 - Dec 12, 2020",9,"Statewide","Statewide",19618453,314,12.1,8.21,16.77,0,304,13.2,8.98,17.86,0,351,11.6,8.1,15.32,0,320,10.5,6.32,14.8,0,527,11.2,8.16,15.25,0,762,13.1,10.17,16.25,0,1289,12.2,10.13,14.58,0,2393451,1987349,2860370,TRUE,FALSE,"2020-12-12","2020-11-23",2020-12-02,"Validation CDC (2021)"
"OH","Nov 25 -  Dec 9, 2020",9,"Statewide","Statewide",11641879,219,20.5,15.36,25.98,0,515,17.9,14.11,21.57,0,536,16.6,12.85,20.15,0,508,7.5,5.03,10.14,0,863,23.2,19.91,26.54,0,915,10.2,7.84,12.55,0,1778,16.5,14.4,18.73,0,1920910,1676431,2180524,TRUE,FALSE,"2020-12-09","2020-11-25",2020-12-02,"Validation CDC (2021)"
"OK","Nov 30 - Dec 10, 2020",9,"Statewide","Statewide",3918137,229,8.1,4.55,12.13,0,325,5.4,2.86,8.41,0,325,6.8,3.77,9.95,0,419,7.6,4.5,10.46,0,512,5,2.69,7.58,0,786,8.4,6.04,10.64,0,1298,6.7,5.13,8.24,0,262515,201000,322854,TRUE,FALSE,"2020-12-10","2020-11-30",2020-12-05,"Validation CDC (2021)"
"OR","Nov 30 - Dec 11, 2020",9,"Statewide","Statewide",4081943,62,777,NA,NA,NA,547,4.2,2.44,6.35,0,430,2.9,1.13,5,0,437,1.9,0.53,3.67,0,632,2.9,1.53,4.51,0,844,4.3,2.24,6.84,0,1476,3.6,2.32,5.05,0,146950,94701,206138,TRUE,FALSE,"2020-12-11","2020-11-30",2020-12-05,"Validation CDC (2021)"
"PA","Nov 27 -  Dec 9, 2020",9,"Statewide","Statewide",12791181,97,7.8,3.07,13.85,0,345,14.8,11,18.51,0,326,8.7,5.35,12.16,0,357,6.2,3.31,9.22,0,450,11.4,7.91,14.93,0,675,9.7,7.05,12.29,0,1125,10.6,8.58,12.68,0,1355865,1097483,1621922,TRUE,FALSE,"2020-12-09","2020-11-27",2020-12-03,"Validation CDC (2021)"
"RI","Nov 30 - Dec 12, 2020",9,"Statewide","Statewide",1056611,86,8.4,2.47,15.22,0,476,9.6,6.9,12.88,0,366,8.7,5.5,12.4,0,312,6.9,4.07,9.95,0,541,8.3,5.72,11.19,0,699,9.1,6.65,11.98,0,1240,8.7,6.95,10.66,0,91925,73434,112635,TRUE,FALSE,"2020-12-12","2020-11-30",2020-12-06,"Validation CDC (2021)"
"SC","Nov 23 -  Dec 7, 2020",9,"Statewide","Statewide",4955925,489,9.9,7.08,12.83,0,215,10.6,6.68,14.48,0,208,10.8,6.18,15.66,0,262,4.1,1.83,6.9,0,502,8.4,5.59,12.09,0,672,10.3,7.54,13.13,0,1174,9.4,7.63,11.56,0,465857,378137,572905,TRUE,FALSE,"2020-12-07","2020-11-23",2020-11-30,"Validation CDC (2021)"
"SD","Nov 25 -  Dec 9, 2020",9,"Statewide","Statewide",864289,5,777,NA,NA,NA,43,777,NA,NA,NA,26,777,NA,NA,NA,49,777,NA,NA,NA,33,777,NA,NA,NA,90,18.8,7.79,31.67,0,123,23.3,13.47,34.75,0,201379,116420,300340,TRUE,FALSE,"2020-12-09","2020-11-25",2020-12-02,"Validation CDC (2021)"
"TN","Nov 25 -  Dec 8, 2020",9,"Statewide","Statewide",6651089,193,17.3,11.77,23.39,0,348,14.9,10.8,19.44,0,359,15.6,11.78,20.31,0,433,10.6,7.71,13.56,0,576,16,12.41,19.68,0,757,13.9,11.11,16.82,0,1333,14.9,12.52,17.19,0,991012,832716,1143322,TRUE,FALSE,"2020-12-08","2020-11-25",2020-12-01,"Validation CDC (2021)"
"TX","Nov 26 -  Dec 9, 2020",9,"Statewide","Statewide",27885195,4,777,NA,NA,NA,224,20.7,14.47,27.93,0,193,14,9.31,18.89,0,234,8.4,4.31,13.88,0,406,20.3,14.7,27.96,0,249,16,9.84,23.44,0,655,18.1,13.95,23.3,0,5047220,3889985,6497250,TRUE,FALSE,"2020-12-09","2020-11-26",2020-12-02,"Validation CDC (2021)"
"UT","Nov 23 -  Dec 7, 2020",9,"Statewide","Statewide",3045350,27,777,NA,NA,NA,476,16,12.26,19.83,0,354,8.6,5.69,11.85,0,284,11.3,6.82,16.5,0,432,22.3,12.55,33.45,0,709,21,13.92,30.23,0,1141,21.6,14.83,27.87,0,657796,451625,848739,TRUE,FALSE,"2020-12-07","2020-11-23",2020-11-30,"Validation CDC (2021)"
"VA","Nov 26 - Dec 10, 2020",9,"Statewide","Statewide",8413774,21,777,NA,NA,NA,404,6.5,3.78,9.33,0,324,4.2,1.93,6.74,0,363,2.8,0.99,5.08,0,454,4.5,2.04,7.25,0,658,6.8,3.53,11.25,0,1112,5.7,3.45,8.02,0,479585,290275,674785,TRUE,FALSE,"2020-12-10","2020-11-26",2020-12-03,"Validation CDC (2021)"
"VT","Nov 30 - Dec 11, 2020",9,"Statewide","Statewide",624977,5,777,NA,NA,NA,205,0.3,0,1.09,1,107,2.5,0,6.19,1,105,0.5,0,1.97,1,143,0.6,0,2.04,1,279,1,0,2.46,0,422,0.8,0.04,1.8,0,5000,250,11250,FALSE,TRUE,"2020-12-11","2020-11-30",2020-12-05,"Validation CDC (2021)"
"WA","Nov 23 - Dec 11, 2020",9,"Statewide","Statewide",7294336,101,7.5,2.49,13.7,0,414,5.5,3.22,8.1,0,471,5.2,2.74,7.83,0,416,2.9,1.22,4.61,0,643,5.6,3.44,7.96,0,759,5.4,3.06,8.19,0,1402,5.5,3.91,7.32,0,401188,285209,533945,TRUE,FALSE,"2020-12-11","2020-11-23",2020-12-02,"Validation CDC (2021)"
"WI","Nov 25 -  Dec 7, 2020",9,"Statewide","Statewide",5778394,43,777,NA,NA,NA,370,22.2,17.12,27.27,0,217,21.6,15.05,28.62,0,167,13.5,7.89,19.63,0,324,19,14.01,24.54,0,473,21.5,16.78,26.67,0,797,20.3,16.45,24.31,0,1173014,950546,1404728,TRUE,FALSE,"2020-12-07","2020-11-25",2020-12-01,"Validation CDC (2021)"
"WV","Nov 28 - Dec 12, 2020",9,"Statewide","Statewide",1829054,43,777,NA,NA,NA,396,6.2,3.62,9.01,0,377,5.8,3.16,8.88,0,362,3.3,1.45,5.57,0,506,5.6,2.48,9.97,0,672,4.6,2.89,6.4,0,1178,5.1,3.26,7.47,0,93282,59627,136630,TRUE,FALSE,"2020-12-12","2020-11-28",2020-12-05,"Validation CDC (2021)"
"WY","Nov 24 -  Dec 9, 2020",9,"Statewide","Statewide",581836,14,777,NA,NA,NA,109,14.9,7.75,23.39,0,90,9.7,2.66,19.17,0,93,11.7,3.56,22.09,0,106,11.9,4.84,21.18,0,200,14.4,8.19,21.59,0,306,13.1,8.1,18.82,0,76221,47129,109502,TRUE,FALSE,"2020-12-09","2020-11-24",2020-12-01,"Validation CDC (2021)"
"AK","Dec 10 - Dec 21, 2020",10,"Statewide","Statewide",738516,36,777,NA,NA,NA,313,12.6,8.42,17.46,0,317,8,4.86,11.5,0,242,9.7,5.31,15.04,0,367,9.8,4.95,16.2,0,541,12.5,8.18,17.35,0,908,11.1,7.71,15,0,81975,56940,110777,TRUE,FALSE,"2020-12-21","2020-12-10",2020-12-15,"Validation CDC (2021)"
"AL","Dec 14 - Dec 26, 2020",10,"Statewide","Statewide",4864680,193,23.1,16.72,29.13,0,382,15.9,12.07,19.75,0,345,12.7,8.85,16.6,0,371,6.9,4.42,9.57,0,515,15.5,11.86,19.08,0,776,15.4,12.83,18.4,0,1291,15.5,13.32,17.9,0,754025,647975,870778,TRUE,FALSE,"2020-12-26","2020-12-14",2020-12-20,"Validation CDC (2021)"
"AR","Dec 14 - Dec 27, 2020",10,"Statewide","Statewide",2990671,142,18.5,12.14,25.68,0,485,13.7,10.61,16.85,0,380,10.4,6.93,13.89,0,438,6.8,4.18,9.69,0,596,13.5,10.12,16.97,0,849,12.7,9.67,15.75,0,1445,13.1,10.97,15.2,0,391778,328077,454582,TRUE,FALSE,"2020-12-27","2020-12-14",2020-12-20,"Validation CDC (2021)"
"AZ","Dec 14 - Dec 27, 2020",10,"Statewide","Statewide",6946685,286,19,14.37,24.07,0,509,13,10.02,16.15,0,533,10.7,7.84,13.58,0,575,4.5,2.9,6.26,0,797,11.9,9.27,14.82,0,1106,13.2,11.02,15.69,0,1903,12.6,10.9,14.43,0,875282,757189,1002407,TRUE,FALSE,"2020-12-27","2020-12-14",2020-12-20,"Validation CDC (2021)"
"CA","Dec 14 - Dec 27, 2020",10,"Statewide","Statewide",39148760,146,12.1,6.83,17.59,0,301,11.2,7.38,14.85,0,638,9.7,7.48,12.25,0,172,5.7,2.49,9.94,0,582,10.8,7.64,14.24,0,675,10,7.21,12.81,0,1257,10.4,8.33,12.49,0,4071471,3261092,4889680,TRUE,FALSE,"2020-12-27","2020-12-14",2020-12-20,"Validation CDC (2021)"
"CO","Dec 11 - Dec 18, 2020",10,"Statewide","Statewide",5531141,133,15.1,7.79,25.73,0,392,12.7,9.44,16.77,0,395,8.5,5.86,11.36,0,394,5.5,3.12,8.53,0,613,10.4,7.36,14.03,0,701,12.6,8.24,17.73,0,1314,11.5,8.96,14.46,0,636081,495590,799803,TRUE,FALSE,"2020-12-18","2020-12-11",2020-12-14,"Validation CDC (2021)"
"CT","Dec 14 - Dec 26, 2020",10,"Statewide","Statewide",3581504,328,7,4.1,10.36,0,323,7.8,4.75,11.21,0,322,12.1,8.44,15.76,0,323,7.1,3.72,10.35,0,545,10.5,7.45,13.51,0,751,6.5,4.6,8.55,0,1296,8.5,6.77,10.28,0,304428,242468,368179,TRUE,FALSE,"2020-12-26","2020-12-14",2020-12-20,"Validation CDC (2021)"
"DC","Dec 14 - Dec 22, 2020",10,"Statewide","Statewide",684498,102,13.1,6.08,20.8,0,368,14.3,10.68,17.93,0,344,9.6,6.39,12.75,0,421,7.4,4.75,10.04,0,470,11.8,8.08,15.63,0,765,13.1,10.15,16.23,0,1235,12.5,9.87,14.91,0,85562,67560,102059,TRUE,FALSE,"2020-12-22","2020-12-14",2020-12-18,"Validation CDC (2021)"
"DE","Dec 14 - Dec 22, 2020",10,"Statewide","Statewide",949495,93,17.9,9.33,26.52,0,498,9.3,6.76,12.19,0,505,6.4,4.3,8.66,0,454,5.6,3.4,8.11,0,564,12.2,8.76,16.48,0,986,7.7,5.4,9.99,0,1550,9.9,7.65,11.98,0,94000,72636,113750,TRUE,FALSE,"2020-12-22","2020-12-14",2020-12-18,"Validation CDC (2021)"
"FL","Dec 14 - Dec 24, 2020",10,"Statewide","Statewide",20598139,316,19.1,14.77,23.73,0,323,15.6,11.3,19.88,0,342,7.1,4.59,10.1,0,340,7.5,4.61,10.85,0,574,12.9,9.58,15.99,0,747,13.1,10.55,15.97,0,1321,13,11.03,15.09,0,2677758,2271975,3108259,TRUE,FALSE,"2020-12-24","2020-12-14",2020-12-19,"Validation CDC (2021)"
"GA","Dec 14 - Dec 18, 2020",10,"Statewide","Statewide",10297484,315,20.4,15.09,25.67,0,322,17.8,13.08,23.57,0,324,14.8,10.19,19.46,0,322,6.1,3.1,9.58,0,477,16,11.91,20.4,0,806,16.7,13.43,20.54,0,1283,16.3,13.63,19.49,0,1678490,1403547,2006980,TRUE,FALSE,"2020-12-18","2020-12-14",2020-12-16,"Validation CDC (2021)"
"HI","Dec 10 - Dec 26, 2020",10,"Statewide","Statewide",1422029,33,777,NA,NA,NA,305,5.1,2.05,8.33,0,314,3.5,1.26,6.13,0,420,0.9,0,2.44,1,384,4,1.82,6.47,0,688,2,0.74,3.59,0,1072,3,1.64,4.33,0,42661,23321,61574,FALSE,TRUE,"2020-12-26","2020-12-10",2020-12-18,"Validation CDC (2021)"
"IA","Dec 12 - Dec 24, 2020",10,"Statewide","Statewide",3132499,37,777,NA,NA,NA,477,20.2,16.54,24.5,0,325,17.6,13.75,21.92,0,207,10.6,6.19,15.25,0,524,20.7,15.27,26.32,0,522,17.9,12.86,23.49,0,1046,19.3,15.48,23.31,0,604572,484911,730186,TRUE,FALSE,"2020-12-24","2020-12-12",2020-12-18,"Validation CDC (2021)"
"ID","Dec 8 - Dec 21, 2020",10,"Statewide","Statewide",1687809,15,777,NA,NA,NA,317,19.9,14.88,25.95,0,187,16,10.27,22.52,0,241,15,9.45,20.96,0,286,17.4,11.67,23.6,0,474,18.6,12.05,23.62,0,760,18,13.38,22.45,0,303806,225829,378913,TRUE,FALSE,"2020-12-21","2020-12-08",2020-12-14,"Validation CDC (2021)"
"IL","Dec 14 - Dec 26, 2020",10,"Statewide","Statewide",12821497,391,25.9,21.12,31.09,0,428,25.1,20.43,30.03,0,394,23,18.47,28.43,0,347,12.9,9.18,16.92,0,613,22.3,18.97,25.8,0,947,23.8,20.52,26.95,0,1560,23.1,20.66,25.55,0,2961766,2648921,3275892,TRUE,FALSE,"2020-12-26","2020-12-14",2020-12-20,"Validation CDC (2021)"
"IN","Dec 10 - Dec 22, 2020",10,"Statewide","Statewide",6637426,9,777,NA,NA,NA,410,13.1,9.46,16.76,0,154,8.3,3.67,13.69,0,126,6.5,1.97,12.49,0,169,6.3,2.62,10.29,0,530,16.1,12.43,19.8,0,699,11.2,8.57,13.8,0,743392,568827,915965,TRUE,FALSE,"2020-12-22","2020-12-10",2020-12-16,"Validation CDC (2021)"
"KS","Dec 11 - Dec 23, 2020",10,"Statewide","Statewide",2908776,155,13.4,7.79,18.82,0,399,14.3,10.82,18.11,0,399,9.4,6.19,12.64,0,357,8.3,5.31,11.94,0,560,13.9,10.62,17.6,0,750,10.6,7.88,13.45,0,1310,12.3,10.23,14.41,0,357779,297568,419155,TRUE,FALSE,"2020-12-23","2020-12-11",2020-12-17,"Validation CDC (2021)"
"KY","Dec 14 - Dec 27, 2020",10,"Statewide","Statewide",4440204,259,13.7,9.18,18.31,0,485,14.8,11.52,18.4,0,420,7.2,4.83,9.9,0,384,6.8,4.09,9.83,0,671,12.2,9.49,15.22,0,877,11.3,8.68,14.15,0,1548,11.7,10.01,13.72,0,519504,444464,609196,TRUE,FALSE,"2020-12-27","2020-12-14",2020-12-20,"Validation CDC (2021)"
"LA","Dec 10 - Dec 24, 2020",10,"Statewide","Statewide",4663616,201,15.2,7.69,23.52,0,369,11.1,7.69,15.61,0,366,7.5,4.9,10.2,0,366,5.8,3.02,8.43,0,550,10.6,7.22,14.71,0,752,10.6,7.74,13.55,0,1302,10.6,8.34,13.26,0,494343,388946,618395,TRUE,FALSE,"2020-12-24","2020-12-10",2020-12-17,"Validation CDC (2021)"
"MA","Dec 14 - Dec 26, 2020",10,"Statewide","Statewide",6830193,129,5.5,1.57,10.13,0,376,5,2.93,7.39,0,385,9.1,6.14,12.39,0,386,5,2.76,7.19,0,546,6.4,4.05,9.03,0,730,5.5,3.79,7.46,0,1276,5.9,4.51,7.43,0,402981,308042,507483,TRUE,FALSE,"2020-12-26","2020-12-14",2020-12-20,"Validation CDC (2021)"
"MD","Dec 10 - Dec 23, 2020",10,"Statewide","Statewide",6003435,80,19.5,11.05,28.21,0,466,19.3,15.49,22.83,0,445,8.5,5.88,11.7,0,389,6.3,3.84,8.7,0,628,17.8,13.69,21.91,0,752,12.7,9.44,16.14,0,1380,15.2,12.7,17.8,0,912522,762436,1068611,TRUE,FALSE,"2020-12-23","2020-12-10",2020-12-16,"Validation CDC (2021)"
"ME","Dec 14 - Dec 26, 2020",10,"Statewide","Statewide",1332813,21,777,NA,NA,NA,215,0.9,0,2.42,1,155,2.1,0.2,4.54,0,135,2.5,0,5.89,1,215,2.4,0,8.9,1,311,2.2,0.65,3.92,0,526,2.3,0.7,5.51,0,30655,9330,73438,TRUE,TRUE,"2020-12-26","2020-12-14",2020-12-20,"Validation CDC (2021)"
"MI","Dec 14 - Dec 26, 2020",10,"Statewide","Statewide",9957488,46,777,NA,NA,NA,473,18.3,14.47,21.74,0,408,12.9,9.45,16.85,0,407,8.8,6.09,11.91,0,585,11.2,7.83,15.82,0,749,18.8,14.73,23.09,0,1334,15.1,12.53,18.16,0,1503581,1247673,1808280,TRUE,FALSE,"2020-12-26","2020-12-14",2020-12-20,"Validation CDC (2021)"
"MN","Dec 11 - Dec 23, 2020",10,"Statewide","Statewide",5527358,124,15.1,7.92,23.71,0,493,14.7,11.21,18.16,0,385,17.8,13.5,22.42,0,292,13,8.89,18.43,0,528,17.7,13.73,22.14,0,766,12.6,9.65,16.17,0,1294,15.2,12.58,17.9,0,840158,695342,989397,TRUE,FALSE,"2020-12-23","2020-12-11",2020-12-17,"Validation CDC (2021)"
"MO","Dec 14 - Dec 26, 2020",10,"Statewide","Statewide",6090062,107,27,14.25,40.32,0,391,16.9,12.36,22.05,0,365,18,12.12,24.14,0,367,12.1,7.42,18.14,0,537,20.7,14.29,26.84,0,693,16.7,12.83,21.45,0,1230,18.6,14.58,22.33,0,1132752,887931,1359911,TRUE,FALSE,"2020-12-26","2020-12-14",2020-12-20,"Validation CDC (2021)"
"MS","Dec 14 - Dec 26, 2020",10,"Statewide","Statewide",2988762,46,777,NA,NA,NA,377,17.5,13.58,21.47,0,344,17.2,13.21,21.92,0,272,13.1,9,18.01,0,404,19.9,13.24,26.38,0,635,15.7,11.96,19.54,0,1039,17.7,14.03,21.59,0,529011,419323,645274,TRUE,FALSE,"2020-12-26","2020-12-14",2020-12-20,"Validation CDC (2021)"
"MT","Dec 10 - Dec 23, 2020",10,"Statewide","Statewide",1041732,10,777,NA,NA,NA,147,16.6,9.91,22.81,0,110,14.6,8.22,21.81,0,95,10.3,4.24,16.64,0,157,15.2,8.71,21.83,0,205,14.3,8.93,19.67,0,362,14.8,10.51,18.89,0,154176,109486,196783,TRUE,FALSE,"2020-12-23","2020-12-10",2020-12-16,"Validation CDC (2021)"
"NC","Dec 14 - Dec 23, 2020",10,"Statewide","Statewide",10155624,415,14,10.65,17.3,0,179,7.3,3.52,11.6,0,155,6.4,2.71,10.62,0,304,3.7,1.62,5.8,0,443,7.7,4.93,11.01,0,610,8.4,5.66,11.35,0,1053,8.1,6.18,10.2,0,822606,627618,1035874,TRUE,FALSE,"2020-12-23","2020-12-14",2020-12-18,"Validation CDC (2021)"
"NE","Dec 8 - Dec 26, 2020",10,"Statewide","Statewide",1904760,58,777,NA,NA,NA,579,22.3,18.67,26.17,0,419,20.2,16.17,24.08,0,217,19.3,13.61,25.12,0,663,20.5,16.11,25.71,0,610,25.5,20.09,31.48,0,1273,23,19.12,27.01,0,438095,364190,514476,TRUE,FALSE,"2020-12-26","2020-12-08",2020-12-17,"Validation CDC (2021)"
